subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanEvidence,groundTruthBinaryHappy,responseHappy,responseSad,responseAIHappy,responseAISad,changeMind,finalResponseSad,finalResponseHappy
1,45,21,35,40,31,17,33,31,27,10,34,48,31,1,0,1,0,1,NaN,1,0
1,23,48,3,15,29,19,28,28,14,12,29,10,21.5,0,0,1,0,1,NaN,1,0
1,50,24,43,16,3,12,27,19,7,11,49,27,24,0,0,1,0,1,NaN,1,0
1,50,39,27,19,18,19,23,11,22,1,48,25,25.16666667,0,1,0,0,1,NaN,0,1
1,36,38,44,7,34,24,29,47,38,7,25,39,30.66666667,1,1,0,1,0,NaN,0,1
1,41,32,42,33,21,6,7,49,38,24,50,36,31.58333333,1,0,1,0,1,NaN,1,0
1,17,7,16,38,35,22,35,6,1,48,12,27,22,0,1,0,0,1,NaN,0,1
1,38,20,31,45,37,26,25,5,1,10,49,6,24.41666667,0,0,1,0,1,NaN,1,0
1,20,37,8,32,44,28,37,17,1,34,38,27,26.91666667,1,1,0,1,0,NaN,0,1
1,13,31,20,6,14,25,26,46,50,41,2,45,26.58333333,1,0,1,0,1,NaN,1,0
1,19,40,23,40,43,27,5,25,10,5,4,47,24,0,0,1,0,1,NaN,1,0
1,22,34,23,47,23,32,19,29,48,19,45,12,29.41666667,1,0,1,1,0,NaN,1,0
1,49,27,33,17,5,41,7,8,30,32,43,3,24.58333333,0,0,1,0,1,NaN,1,0
1,36,19,26,25,24,11,9,31,19,50,42,21,26.08333333,1,0,1,0,1,NaN,1,0
1,18,33,47,44,42,34,37,48,10,41,46,11,34.25,1,1,0,1,0,NaN,0,1
1,31,39,46,17,9,45,41,49,34,23,6,2,28.5,1,1,0,1,0,NaN,0,1
1,23,33,33,24,41,47,29,28,22,42,6,36,30.33333333,1,1,0,1,0,NaN,0,1
1,14,46,42,25,28,22,10,31,22,45,44,35,30.33333333,1,1,0,0,1,NaN,0,1
1,29,18,31,23,27,32,4,11,2,50,31,30,24,0,1,0,0,1,NaN,0,1
1,47,40,2,12,42,18,29,43,45,14,45,46,31.91666667,1,1,0,0,1,NaN,0,1
1,18,15,39,27,16,9,45,34,3,33,36,12,23.91666667,0,0,1,0,1,NaN,1,0
1,22,17,28,27,29,45,42,36,13,6,19,2,23.83333333,0,1,0,1,0,NaN,0,1
1,40,21,38,30,26,37,37,15,49,25,22,45,32.08333333,1,0,1,1,0,NaN,1,0
1,7,50,18,37,11,45,8,24,21,1,18,36,23,0,0,1,0,1,NaN,1,0
1,12,10,40,13,15,30,18,32,42,8,10,7,19.75,0,0,1,0,1,NaN,1,0
1,18,33,9,34,38,6,46,2,31,45,18,9,24.08333333,0,1,0,0,1,NaN,0,1
1,28,21,14,37,45,49,10,14,10,32,2,43,25.41666667,0,0,1,1,0,NaN,1,0
1,15,18,24,28,50,35,24,8,35,46,16,2,25.08333333,0,0,1,0,1,NaN,1,0
1,24,10,30,3,24,45,15,44,34,3,18,25,22.91666667,0,0,1,0,1,NaN,1,0
1,41,10,13,11,22,12,50,33,9,24,41,27,24.41666667,0,0,1,0,1,NaN,1,0
1,25,33,21,27,41,9,50,50,33,3,2,14,25.66666667,1,0,1,1,0,NaN,1,0
1,2,21,24,34,42,36,17,14,47,49,18,8,26,1,0,1,0,1,NaN,1,0
1,39,41,11,38,36,21,33,19,9,43,41,44,31.25,1,0,1,1,0,NaN,1,0
1,9,20,43,14,20,31,7,15,23,50,13,45,24.16666667,0,0,1,0,1,NaN,1,0
1,24,19,1,49,26,34,26,37,34,18,22,34,27,1,0,1,1,0,NaN,1,0
1,47,46,33,2,4,17,50,5,11,37,38,40,27.5,1,0,1,1,0,NaN,1,0
1,46,22,12,13,50,42,23,50,29,22,44,45,33.16666667,1,0,1,1,0,NaN,1,0
1,31,45,26,17,37,29,45,50,8,49,32,19,32.33333333,1,1,0,1,0,NaN,0,1
1,24,41,49,25,20,2,28,35,43,33,37,23,30,1,0,1,0,1,NaN,1,0
1,44,1,33,14,40,6,43,27,30,50,33,15,28,1,0,1,0,1,NaN,1,0
1,20,14,22,13,47,19,22,3,29,23,38,13,21.91666667,0,0,1,0,1,NaN,1,0
1,41,20,26,48,24,35,49,29,3,3,42,42,30.16666667,1,0,1,1,0,NaN,1,0
1,27,13,7,23,28,1,4,28,12,6,9,19,14.75,0,0,1,0,1,NaN,1,0
1,42,31,8,37,31,20,44,36,28,1,38,6,26.83333333,1,0,1,1,0,NaN,1,0
1,30,21,42,43,44,28,25,30,29,25,16,36,30.75,1,0,1,1,0,NaN,1,0
1,29,34,23,24,22,6,9,15,38,45,32,49,27.16666667,1,1,0,0,1,NaN,0,1
1,10,41,38,40,29,39,1,18,42,27,10,24,26.58333333,1,1,0,0,1,NaN,0,1
1,42,40,22,42,2,39,11,27,9,9,13,14,22.5,0,1,0,0,1,NaN,0,1
1,37,2,13,37,46,10,27,23,8,13,16,18,20.83333333,0,1,0,0,1,NaN,0,1
1,27,41,21,48,27,6,36,7,17,48,33,26,28.08333333,1,0,1,0,1,NaN,1,0
1,36,33,27,23,1,16,27,43,16,5,35,49,25.91666667,1,0,1,0,1,NaN,1,0
1,11,30,13,21,25,14,14,36,2,26,29,6,18.91666667,0,0,1,0,1,NaN,1,0
1,15,23,44,9,25,10,18,35,6,29,42,34,24.16666667,0,0,1,0,1,NaN,1,0
1,33,18,42,17,13,45,5,49,20,6,33,42,26.91666667,1,0,1,0,1,NaN,1,0
1,49,2,40,40,22,30,29,50,46,9,38,4,29.91666667,1,1,0,1,0,NaN,0,1
1,20,26,18,5,24,49,29,34,46,3,23,34,25.91666667,1,1,0,1,0,NaN,0,1
1,20,12,5,34,42,6,10,2,17,28,45,49,22.5,0,0,1,0,1,NaN,1,0
1,14,1,23,16,6,4,46,31,17,43,9,44,21.16666667,0,1,0,0,1,NaN,0,1
1,9,11,29,9,49,12,40,24,42,42,38,37,28.5,1,0,1,0,1,NaN,1,0
1,33,18,4,7,9,17,14,3,41,10,5,40,16.75,0,0,1,0,1,NaN,1,0
1,8,38,45,11,49,48,19,40,14,16,23,13,27,1,0,1,1,0,NaN,1,0
1,36,36,12,15,37,39,23,4,10,19,48,4,23.58333333,0,0,1,0,1,NaN,1,0
1,14,49,38,14,5,41,24,28,43,38,35,33,30.16666667,1,1,0,1,0,NaN,0,1
1,22,33,20,28,24,19,47,40,49,1,20,21,27,1,0,1,1,0,NaN,1,0
1,4,5,18,49,47,34,1,46,40,14,13,11,23.5,0,0,1,0,1,NaN,1,0
1,32,11,28,11,8,24,46,26,41,46,47,4,27,1,0,1,1,0,NaN,1,0
1,39,49,4,19,29,14,3,48,15,22,36,17,24.58333333,0,1,0,0,1,NaN,0,1
1,15,47,45,43,21,3,28,38,37,40,46,18,31.75,1,1,0,0,1,NaN,0,1
1,36,4,6,8,30,48,23,13,14,11,5,33,19.25,0,0,1,0,1,NaN,1,0
1,2,31,7,8,47,29,37,42,50,2,31,11,24.75,0,0,1,1,0,NaN,1,0
1,47,22,6,31,48,38,19,43,10,27,48,19,29.83333333,1,1,0,1,0,NaN,0,1
1,28,3,48,36,22,32,23,23,37,39,22,41,29.5,1,1,0,1,0,NaN,0,1
1,1,27,8,35,48,39,24,32,44,40,2,24,27,1,0,1,1,0,NaN,1,0
1,32,19,37,27,30,38,26,2,23,7,34,15,24.16666667,0,1,0,0,1,NaN,0,1
1,2,49,11,11,29,21,22,1,5,42,13,47,21.08333333,0,1,0,0,1,NaN,0,1
1,25,29,47,4,16,2,41,18,36,41,49,4,26,1,0,1,0,1,NaN,1,0
1,11,23,30,2,1,27,40,6,46,37,45,6,22.83333333,0,1,0,0,1,NaN,0,1
1,19,5,36,28,31,37,18,34,13,14,24,20,23.25,0,0,1,0,1,NaN,1,0
1,5,29,39,38,1,9,28,1,22,29,7,6,17.83333333,0,1,0,0,1,NaN,0,1
1,33,36,12,24,35,42,6,17,48,18,15,39,27.08333333,1,1,0,0,1,NaN,0,1
1,1,12,24,32,33,32,28,40,29,50,3,26,25.83333333,1,0,1,1,0,NaN,1,0
1,6,11,35,37,46,25,24,48,33,22,43,30,30,1,0,1,1,0,NaN,1,0
1,15,15,39,36,14,12,28,47,41,32,3,47,27.41666667,1,1,0,0,1,NaN,0,1
1,49,20,44,43,4,22,14,9,1,49,20,40,26.25,1,1,0,0,1,NaN,0,1
1,3,16,50,30,22,33,31,26,29,48,43,49,31.66666667,1,1,0,1,0,NaN,0,1
1,3,4,35,9,23,13,44,31,8,31,26,1,19,0,0,1,0,1,NaN,1,0
1,47,16,28,28,50,46,10,41,4,32,43,1,28.83333333,1,1,0,1,0,NaN,0,1
1,6,30,16,11,20,34,18,20,24,41,17,3,20,0,1,0,0,1,NaN,0,1
1,45,40,16,14,5,26,27,3,18,29,8,21,21,0,0,1,0,1,NaN,1,0
1,28,27,49,30,45,50,37,14,11,41,15,31,31.5,1,1,0,1,0,NaN,0,1
1,47,50,22,35,26,14,14,9,22,37,19,4,24.91666667,0,0,1,0,1,NaN,1,0
1,46,2,9,15,8,49,16,2,15,21,45,25,21.08333333,0,0,1,0,1,NaN,1,0
1,39,3,10,11,32,42,27,19,30,6,30,40,24.08333333,0,0,1,1,0,0,1,0
1,50,26,39,2,22,50,25,12,31,11,43,37,29,1,1,0,1,0,0,0,1
1,22,46,47,6,46,24,5,25,18,40,33,18,27.5,1,0,1,0,1,0,1,0
1,40,38,5,21,8,35,36,27,2,4,26,16,21.5,0,1,0,1,0,0,0,1
1,16,26,16,44,21,25,33,49,46,25,38,2,28.41666667,1,0,1,1,0,0,1,0
1,24,49,12,4,42,28,48,21,25,4,30,12,24.91666667,0,0,1,1,0,0,1,0
1,3,9,1,23,8,33,37,26,13,31,9,30,18.58333333,0,1,0,1,0,0,0,1
1,44,8,19,28,8,14,9,41,11,24,29,25,21.66666667,0,0,1,0,1,0,1,0
1,43,9,1,37,44,25,25,8,26,17,49,1,23.75,0,0,1,0,1,0,1,0
1,40,16,23,17,16,17,38,12,21,41,42,20,25.25,0,0,1,0,1,0,1,0
1,22,31,14,45,40,16,39,23,50,25,6,40,29.25,1,0,1,0,1,0,1,0
1,30,48,5,9,2,22,27,26,17,13,21,19,19.91666667,0,0,1,0,1,0,1,0
1,11,48,49,34,12,40,14,32,32,1,25,18,26.33333333,1,1,0,1,0,0,0,1
1,32,20,36,25,34,18,6,32,12,10,20,16,21.75,0,0,1,0,1,0,1,0
1,22,8,10,26,6,18,41,20,1,16,7,7,15.16666667,0,0,1,0,1,0,1,0
1,17,3,1,41,22,44,34,19,17,25,37,28,24,0,1,0,1,0,0,0,1
1,7,3,23,45,18,24,45,43,31,41,42,22,28.66666667,1,0,1,1,0,0,1,0
1,33,21,20,13,15,3,29,3,10,6,37,33,18.58333333,0,1,0,0,1,0,0,1
1,21,3,46,42,49,29,24,25,34,38,30,32,31.08333333,1,0,1,1,0,0,1,0
1,30,18,45,7,3,28,26,30,25,38,46,15,25.91666667,1,0,1,1,0,0,1,0
1,35,25,31,33,23,1,49,32,7,32,30,35,27.75,1,1,0,0,1,0,0,1
1,4,47,3,38,6,43,14,8,44,48,41,27,26.91666667,1,0,1,1,0,0,1,0
1,1,18,47,26,34,18,25,35,11,5,29,35,23.66666667,0,0,1,0,1,0,1,0
1,12,20,49,8,23,2,21,1,33,30,1,46,20.5,0,0,1,0,1,0,1,0
1,18,30,37,13,35,34,41,16,29,47,9,14,26.91666667,1,0,1,1,0,0,1,0
1,22,15,48,19,49,5,1,39,45,11,3,11,22.33333333,0,0,1,0,1,0,1,0
1,46,31,45,20,18,7,26,1,19,39,4,48,25.33333333,0,0,1,0,1,0,1,0
1,17,6,50,35,30,23,44,18,19,37,11,36,27.16666667,1,1,0,1,0,0,0,1
1,32,40,31,20,32,20,20,26,38,44,10,12,27.08333333,1,1,0,0,1,0,0,1
1,35,12,2,5,34,28,23,48,28,2,17,48,23.5,0,1,0,0,1,0,0,1
1,32,4,29,34,26,3,9,30,33,38,37,44,26.58333333,1,1,0,0,1,0,0,1
1,21,24,49,36,13,34,14,7,26,16,7,34,23.41666667,0,1,0,0,1,0,0,1
1,37,50,10,26,45,6,34,25,2,16,15,48,26.16666667,1,1,0,0,1,0,0,1
1,32,31,5,47,20,4,12,43,40,46,16,31,27.25,1,0,1,0,1,0,1,0
1,28,2,40,45,28,29,37,2,16,26,47,19,26.58333333,1,0,1,1,0,0,1,0
1,46,7,31,33,7,40,41,22,49,9,1,33,26.58333333,1,0,1,1,0,0,1,0
1,30,14,19,48,13,2,43,36,41,36,30,25,28.08333333,1,0,1,0,1,0,1,0
1,44,50,35,38,34,8,31,44,1,14,37,33,30.75,1,0,1,0,1,0,1,0
1,39,27,3,2,33,36,24,29,44,12,1,45,24.58333333,0,1,0,1,0,0,0,1
1,39,31,2,43,28,49,30,50,18,21,50,5,30.5,1,1,0,1,0,0,0,1
1,35,41,19,19,12,16,34,11,41,4,7,24,21.91666667,0,0,1,0,1,0,1,0
1,4,5,12,28,43,44,37,2,29,38,11,13,22.16666667,0,0,1,1,0,0,1,0
1,6,18,41,45,11,34,46,27,33,4,11,22,24.83333333,0,0,1,1,0,0,1,0
1,33,8,6,20,11,41,45,25,25,6,12,46,23.16666667,0,1,0,1,0,0,0,1
1,14,21,46,2,34,41,10,39,11,23,9,41,24.25,0,1,0,0,1,0,0,1
1,24,34,3,14,24,28,32,28,35,5,37,12,23,0,1,0,1,0,0,0,1
1,40,44,32,4,27,24,46,3,33,44,36,11,28.66666667,1,1,0,1,0,0,0,1
1,43,44,36,16,41,25,31,34,47,34,23,48,35.16666667,1,1,0,1,0,0,0,1
1,1,44,9,44,18,29,23,5,35,19,50,42,26.58333333,1,0,1,0,1,0,1,0
1,22,30,32,14,37,12,36,9,16,1,10,19,19.83333333,0,0,1,0,1,0,1,0
1,27,24,27,15,14,27,9,17,50,37,24,21,24.33333333,0,1,0,0,1,0,0,1
1,24,31,8,4,4,39,12,41,22,48,10,40,23.58333333,0,1,0,0,1,0,0,1
1,25,24,17,49,27,2,39,43,31,31,46,7,28.41666667,1,1,0,0,1,0,0,1
1,49,11,46,5,4,39,37,4,4,43,29,3,22.83333333,0,1,0,1,0,0,0,1
1,20,5,15,44,13,7,2,20,31,26,22,7,17.66666667,0,0,1,0,1,0,1,0
1,35,33,31,9,9,44,26,41,41,50,26,31,31.33333333,1,1,0,1,0,0,0,1
1,28,17,15,31,41,40,50,3,6,39,45,36,29.25,1,1,0,1,0,0,0,1
1,5,43,27,7,10,9,47,10,6,45,17,37,21.91666667,0,0,1,0,1,0,1,0
1,32,5,30,33,31,35,37,5,3,18,41,21,24.25,0,1,0,1,0,0,0,1
1,39,14,44,31,47,15,45,3,29,39,5,36,28.91666667,1,1,0,0,1,0,0,1
1,24,33,40,46,11,16,39,48,15,29,42,42,32.08333333,1,1,0,1,0,0,0,1
1,21,10,22,7,37,24,20,46,35,26,42,45,27.91666667,1,0,1,0,1,0,1,0
1,1,36,11,1,10,18,15,33,30,17,4,27,16.91666667,0,0,1,0,1,0,1,0
1,10,35,48,36,1,24,22,19,37,44,23,14,26.08333333,1,0,1,0,1,0,1,0
1,10,22,50,19,22,25,11,19,32,42,11,45,25.66666667,1,0,1,0,1,0,1,0
1,4,3,41,30,17,8,4,19,9,26,22,12,16.25,0,0,1,0,1,0,1,0
1,26,27,34,2,24,49,12,8,20,20,5,44,22.58333333,0,1,0,0,1,0,0,1
1,29,47,28,15,10,5,40,4,24,48,1,50,25.08333333,0,0,1,0,1,0,1,0
1,50,7,42,7,33,22,28,46,16,32,1,9,24.41666667,0,1,0,0,1,0,0,1
1,13,43,38,28,21,31,7,40,48,29,1,11,25.83333333,1,1,0,0,1,0,0,1
1,3,5,23,50,31,31,47,6,19,8,37,17,23.08333333,0,0,1,1,0,0,1,0
1,17,49,40,9,36,29,24,37,3,32,39,44,29.91666667,1,1,0,1,0,0,0,1
1,48,37,45,3,50,3,10,35,49,42,34,28,32,1,1,0,0,1,0,0,1
1,8,45,3,13,39,18,16,13,13,23,17,20,19,0,1,0,0,1,0,0,1
1,19,23,3,29,35,26,23,6,48,9,9,1,19.25,0,0,1,0,1,0,1,0
1,32,16,41,46,48,6,38,21,40,46,31,11,31.33333333,1,0,1,0,1,0,1,0
1,23,24,18,2,21,14,44,25,30,9,8,22,20,0,0,1,0,1,0,1,0
1,50,33,4,25,17,33,26,16,40,46,22,16,27.33333333,1,1,0,1,0,0,0,1
1,18,42,11,48,17,1,4,4,50,50,35,40,26.66666667,1,0,1,0,1,0,1,0
1,31,2,29,16,4,14,25,7,15,37,1,48,19.08333333,0,1,0,0,1,0,0,1
1,27,47,24,40,7,49,12,23,38,22,31,14,27.83333333,1,0,1,1,0,0,1,0
1,27,2,39,47,9,23,3,30,26,47,21,39,26.08333333,1,0,1,0,1,0,1,0
1,12,47,14,20,32,31,5,24,32,23,36,21,24.75,0,0,1,0,1,0,1,0
1,29,36,3,32,2,46,50,12,6,40,48,40,28.66666667,1,1,0,1,0,0,0,1
1,29,20,37,6,11,35,12,28,1,26,45,11,21.75,0,1,0,0,1,0,0,1
1,7,33,32,16,33,14,23,14,24,26,3,49,22.83333333,0,1,0,0,1,0,0,1
1,25,1,3,11,28,38,25,24,17,48,21,38,23.25,0,0,1,1,0,0,1,0
1,24,27,24,36,37,24,42,34,1,14,27,30,26.66666667,1,1,0,1,0,0,0,1
1,29,43,41,25,45,33,10,31,50,35,44,44,35.83333333,1,1,0,1,0,0,0,1
1,34,48,15,42,14,6,22,3,49,2,27,4,22.16666667,0,1,0,0,1,0,0,1
1,37,16,28,29,44,46,17,12,31,33,1,16,25.83333333,1,0,1,0,1,0,1,0
1,27,1,47,35,2,6,37,41,43,23,26,6,24.5,0,0,1,0,1,0,1,0
1,26,35,26,24,40,13,34,49,36,50,48,38,34.91666667,1,0,1,0,1,0,1,0
1,12,37,23,3,13,12,30,45,41,40,37,40,27.75,1,1,0,0,1,0,0,1
1,30,50,6,28,15,31,25,7,22,25,32,39,25.83333333,1,1,0,0,1,0,0,1
1,7,3,16,1,47,40,45,44,1,26,33,39,25.16666667,0,0,1,1,0,0,1,0
1,36,13,3,46,47,47,46,20,42,24,42,39,33.75,1,1,0,1,0,0,0,1
1,14,29,30,23,33,32,5,46,26,45,19,9,25.91666667,1,1,0,0,1,0,0,1
1,39,45,9,45,10,41,39,48,46,47,17,40,35.5,1,1,0,1,0,0,0,1
1,28,47,24,15,27,24,21,36,33,35,6,40,28,1,1,0,0,1,0,0,1
1,39,34,12,18,41,31,38,42,46,25,25,24,31.25,1,1,0,1,0,0,0,1
1,40,3,2,17,39,11,37,19,19,50,26,33,24.66666667,0,1,0,0,1,0,0,1
1,43,20,40,37,15,10,16,29,22,10,41,37,26.66666667,1,1,0,0,1,0,0,1
1,7,40,9,33,1,5,39,23,15,39,46,19,23,0,0,1,0,1,0,1,0
1,5,20,6,31,33,44,25,50,32,12,47,3,25.66666667,1,0,1,1,0,0,1,0
1,12,6,42,6,41,10,12,3,5,4,34,11,15.5,0,1,0,0,1,0,0,1
1,6,28,5,47,43,26,21,44,27,18,3,36,25.33333333,0,0,1,0,1,0,1,0
1,22,14,41,31,18,1,46,34,44,38,26,41,29.66666667,1,0,1,0,1,0,1,0
1,12,43,11,11,49,17,7,27,36,2,25,17,21.41666667,0,0,1,0,1,0,1,0
1,24,50,4,16,49,45,14,10,8,28,25,45,26.5,1,1,0,0,1,0,0,1
1,30,4,1,18,23,14,14,11,25,48,12,42,20.16666667,0,0,1,0,1,0,1,0
1,35,25,35,7,30,26,18,2,5,26,13,49,22.58333333,0,1,0,0,1,0,0,1
1,1,25,12,49,29,1,26,39,20,40,8,14,22,0,0,1,0,1,0,1,0
1,31,29,23,46,17,32,7,12,24,37,48,30,28,1,1,0,0,1,0,0,1
1,3,14,6,48,1,48,41,16,2,9,17,23,19,0,0,1,1,0,0,1,0
1,24,35,30,49,13,11,17,1,40,23,23,31,24.75,0,1,0,0,1,0,0,1
1,44,11,42,18,50,46,12,28,36,12,5,32,28,1,1,0,0,1,0,0,1
1,14,39,13,2,43,2,36,32,33,18,46,12,24.16666667,0,1,0,0,1,0,0,1
1,44,15,39,11,27,45,46,24,46,2,32,21,29.33333333,1,1,0,1,0,0,0,1
1,14,18,19,37,15,32,25,10,37,10,44,38,24.91666667,0,0,1,0,1,0,1,0
1,19,31,15,26,17,33,45,19,39,41,31,35,29.25,1,1,0,1,0,0,0,1
1,27,17,48,37,27,23,19,23,16,46,14,39,28,1,1,0,0,1,0,0,1
1,25,22,12,15,49,29,49,32,24,45,28,20,29.16666667,1,0,1,1,0,0,1,0
1,39,41,45,46,2,18,18,42,15,49,41,46,33.5,1,1,0,0,1,0,0,1
1,14,35,23,22,7,5,34,39,20,18,50,35,25.16666667,0,0,1,0,1,0,1,0
1,28,13,49,17,32,46,28,1,2,30,50,37,27.75,1,0,1,1,0,0,1,0
1,31,43,6,8,7,27,24,8,28,12,42,39,22.91666667,0,0,1,0,1,0,1,0
1,3,26,34,37,37,41,11,38,17,11,33,10,24.83333333,0,0,1,0,1,0,1,0
1,35,43,39,30,29,13,25,11,14,21,30,7,24.75,0,1,0,0,1,0,0,1
1,24,2,6,38,49,35,13,45,27,36,9,6,24.16666667,0,1,0,0,1,0,0,1
1,2,40,5,46,47,12,14,47,47,8,22,48,28.16666667,1,0,1,0,1,0,1,0
1,12,24,48,49,18,15,27,22,7,39,50,6,26.41666667,1,0,1,0,1,0,1,0
1,35,28,28,43,33,6,11,33,31,2,9,28,23.91666667,0,0,1,0,1,0,1,0
1,23,49,11,6,23,22,14,49,35,25,4,32,24.41666667,0,1,0,0,1,0,0,1
1,28,27,33,49,30,37,7,26,21,42,43,29,31,1,1,0,0,1,0,0,1
